2026-07-20 06:33:54 | INFO | __main__:_run_phase1:414 | Pump degraded, skipping monitoring | {'symbol': 'USUSDT', 'health': 25, 'broken': 0, 'correction': '94%'}
2026-07-20 06:39:06 | INFO | __main__:_auto_screener_loop:306 | Auto screener completed | {'total': 4, 'new': 0}
2026-07-20 06:40:43 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 6, 'block_threshold': 4}
2026-07-20 06:41:08 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 6, 'block_threshold': 4}
2026-07-20 06:41:23 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 6, 'block_threshold': 4}
2026-07-20 06:41:39 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 6, 'block_threshold': 4}
2026-07-20 06:41:54 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 6, 'block_threshold': 4}
2026-07-20 06:42:09 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 6, 'block_threshold': 4}
2026-07-20 06:42:24 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 6, 'block_threshold': 4}
2026-07-20 06:42:39 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'BUSDT', 'level': 0.2211, 'approach_count': 6, 'block_threshold': 4}
