2026-07-22 23:22:55 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ERAUSDT', 'level': 0.09568, 'approach_count': 14, 'block_threshold': 4}
2026-07-22 23:23:06 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02915, 'approach_count': 6, 'block_threshold': 4}
2026-07-22 23:23:11 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ERAUSDT', 'level': 0.09568, 'approach_count': 14, 'block_threshold': 4}
2026-07-22 23:23:21 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02915, 'approach_count': 6, 'block_threshold': 4}
2026-07-22 23:23:22 | INFO | __main__:_proximity_arm_loop:1948 | proximity-arm activated | {'symbol': 'REUSDT', 'level': 0.47575, 'type': 'pump_base', 'strength': 5, 'dist_atr': 1.11}
2026-07-22 23:23:22 | INFO | __main__:_run_phase1:652 | Level monitoring started | {'symbol': 'REUSDT', 'level': 0.46937, 'strength': 5}
2026-07-22 23:23:22 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:23:26 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ERAUSDT', 'level': 0.09568, 'approach_count': 14, 'block_threshold': 4}
2026-07-22 23:23:26 | INFO | __main__:_proximity_loop:1258 | Proximity alert sent | {'symbol': 'REUSDT', 'level': 0.46937, 'distance_pct': 1.6614288707311946}
2026-07-22 23:23:26 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:23:27 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:23:32 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:23:36 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02915, 'approach_count': 6, 'block_threshold': 4}
2026-07-22 23:23:37 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:23:41 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ERAUSDT', 'level': 0.09568, 'approach_count': 14, 'block_threshold': 4}
2026-07-22 23:23:41 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:23:42 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:23:47 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:23:51 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02915, 'approach_count': 6, 'block_threshold': 4}
2026-07-22 23:23:52 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:23:56 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ERAUSDT', 'level': 0.09568, 'approach_count': 14, 'block_threshold': 4}
2026-07-22 23:23:56 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:23:57 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:24:02 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:24:07 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02915, 'approach_count': 6, 'block_threshold': 4}
2026-07-22 23:24:07 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:24:12 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ERAUSDT', 'level': 0.09568, 'approach_count': 14, 'block_threshold': 4}
2026-07-22 23:24:12 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:24:12 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.17'}
2026-07-22 23:24:17 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.21'}
2026-07-22 23:24:22 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02915, 'approach_count': 6, 'block_threshold': 4}
2026-07-22 23:24:22 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.21'}
2026-07-22 23:24:27 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ERAUSDT', 'level': 0.09568, 'approach_count': 14, 'block_threshold': 4}
2026-07-22 23:24:27 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.21'}
2026-07-22 23:24:27 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.21'}
2026-07-22 23:24:32 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.19'}
2026-07-22 23:24:37 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02915, 'approach_count': 6, 'block_threshold': 4}
2026-07-22 23:24:37 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.19'}
2026-07-22 23:24:42 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ERAUSDT', 'level': 0.09568, 'approach_count': 14, 'block_threshold': 4}
2026-07-22 23:24:42 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.20'}
2026-07-22 23:24:42 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.20'}
2026-07-22 23:24:47 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.20'}
2026-07-22 23:24:52 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02915, 'approach_count': 6, 'block_threshold': 4}
2026-07-22 23:24:52 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.20'}
2026-07-22 23:24:57 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ERAUSDT', 'level': 0.09568, 'approach_count': 14, 'block_threshold': 4}
2026-07-22 23:24:57 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.19'}
2026-07-22 23:24:57 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.19'}
2026-07-22 23:25:02 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.19'}
2026-07-22 23:25:08 | INFO | trading.strategy2_signal_filter:check:533 | S2 skip: approach>=block (G3, level exhausted) | {'symbol': 'ESPORTSUSDT', 'level': 0.02915, 'approach_count': 6, 'block_threshold': 4}
2026-07-22 23:25:08 | INFO | trading.strategy2_signal_filter:check:681 | S2 market phase | {'symbol': 'REUSDT', 'phase': 'bleed', 'note': 'bleed:bq=0.30,dir_eff=0.19'}
